"RelPath","Outer","Inner","OuterLen","InnerLen","OuterWrite","InnerWrite"
"backend\apps\accounts\migrations\__pycache__\0010_seed_user_management_scope_capabilities.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0010_seed_user_management_scope_capabilities.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0010_seed_user_management_scope_capabilities.cpython-313.pyc","3198","3217","15-03-2026 3:40:59","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0011_seed_jefe_utp_role_and_chile_capabilities.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0011_seed_jefe_utp_role_and_chile_capabilities.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0011_seed_jefe_utp_role_and_chile_capabilities.cpython-313.pyc","3198","3217","15-03-2026 3:40:59","16-03-2026 9:29:45"
"backend\apps\accounts\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\__init__.cpython-313.pyc","726","745","12-03-2026 20:07:02","16-03-2026 9:30:01"
"backend\apps\accounts\services\__pycache__\academic_profile_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\academic_profile_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\academic_profile_service.cpython-313.pyc","4566","4585","12-03-2026 20:07:02","16-03-2026 9:30:01"
"backend\apps\accounts\services\__pycache__\apoderado_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\apoderado_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\apoderado_service.cpython-313.pyc","27660","27679","12-03-2026 20:07:02","16-03-2026 9:30:02"
"backend\apps\accounts\services\__pycache__\auth_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\auth_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\auth_service.cpython-313.pyc","12206","12225","12-03-2026 20:35:14","16-03-2026 9:30:02"
"backend\apps\accounts\services\__pycache__\estudiante_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\estudiante_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\estudiante_service.cpython-313.pyc","1938","1957","12-03-2026 20:07:02","16-03-2026 9:30:01"
"backend\apps\accounts\services\__pycache__\profile_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\profile_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\profile_service.cpython-313.pyc","15358","15377","12-03-2026 20:35:14","16-03-2026 9:30:02"
"backend\apps\accounts\services\__pycache__\role_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\role_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\role_service.cpython-313.pyc","8393","9127","12-03-2026 20:07:02","16-03-2026 9:30:01"
"backend\apps\accounts\services\__pycache__\student_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\student_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\student_service.cpython-313.pyc","35636","35655","12-03-2026 20:07:02","16-03-2026 9:30:01"
"backend\apps\accounts\services\__pycache__\teacher_availability_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\teacher_availability_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\teacher_availability_service.cpython-313.pyc","3445","3464","12-03-2026 20:07:02","16-03-2026 9:30:01"
"backend\apps\accounts\services\__pycache__\user_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\user_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\user_service.cpython-313.pyc","14716","19818","12-03-2026 20:07:02","16-03-2026 9:30:01"
"backend\apps\accounts\services\__pycache__\usuario_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\usuario_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\__pycache__\usuario_service.cpython-313.pyc","1805","1824","12-03-2026 20:07:02","16-03-2026 9:30:01"
"backend\apps\accounts\services\role_service.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\role_service.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\role_service.py","7149","7484","12-03-2026 19:41:54","16-03-2026 2:44:45"
"backend\apps\accounts\services\user_service.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\services\user_service.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\services\user_service.py","11819","17843","12-03-2026 19:41:54","16-03-2026 2:44:45"
"backend\apps\accounts\views\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\views\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\views\__pycache__\__init__.cpython-313.pyc","168","187","12-03-2026 20:35:14","16-03-2026 9:30:02"
"backend\apps\accounts\views\__pycache__\auth.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\views\__pycache__\auth.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\views\__pycache__\auth.cpython-313.pyc","7188","7207","12-03-2026 20:35:14","16-03-2026 9:30:02"
"backend\apps\accounts\views\__pycache__\profile.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\views\__pycache__\profile.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\views\__pycache__\profile.cpython-313.pyc","6058","6077","12-03-2026 20:35:14","16-03-2026 9:30:02"
